"Notes"	"County"	"County Code"	"Year"	"Year Code"	Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Temperature Standard Deviation	Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index	Average Heat Wave Days Based on Daily Maximum Heat Index Standard Deviation	Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress	Average Heat Wave Days Based on Net Daily Heat Stress Standard Deviation	Population	Average Population
"Total"	"Fayette County, TN"	"47047"			Not Applicable	0.00	0.00	Not Applicable	11.00	0.00	Not Applicable	9.00	0.00	25270	25270.00
	"Fentress County, TN"	"47049"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	3	3.00	0.00	14865	14865.00
"Total"	"Fentress County, TN"	"47049"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	14865	14865.00
	"Franklin County, TN"	"47051"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	5	5.00	0.00	32286	32286.00
"Total"	"Franklin County, TN"	"47051"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	32286	32286.00
	"Gibson County, TN"	"47053"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	7	7.00	0.00	49135	49135.00
"Total"	"Gibson County, TN"	"47053"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	49135	49135.00
	"Giles County, TN"	"47055"	"1981"	"1981"	0	0.00	0.00	8	8.00	0.00	9	9.00	0.00	24618	24618.00
"Total"	"Giles County, TN"	"47055"			Not Applicable	0.00	0.00	Not Applicable	8.00	0.00	Not Applicable	9.00	0.00	24618	24618.00
	"Grainger County, TN"	"47057"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	3	3.00	0.00	16792	16792.00
"Total"	"Grainger County, TN"	"47057"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	16792	16792.00
	"Greene County, TN"	"47059"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	5	5.00	0.00	55146	55146.00
"Total"	"Greene County, TN"	"47059"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	5.00	0.00	55146	55146.00
	"Grundy County, TN"	"47061"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	6	6.00	0.00	13832	13832.00
"Total"	"Grundy County, TN"	"47061"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	13832	13832.00
	"Hamblen County, TN"	"47063"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	3	3.00	0.00	50011	50011.00
"Total"	"Hamblen County, TN"	"47063"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	50011	50011.00
	"Hamilton County, TN"	"47065"	"1981"	"1981"	2	2.00	0.00	6	6.00	0.00	6	6.00	0.00	290795	290795.00
"Total"	"Hamilton County, TN"	"47065"			Not Applicable	2.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	290795	290795.00
	"Hancock County, TN"	"47067"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	4	4.00	0.00	6913	6913.00
"Total"	"Hancock County, TN"	"47067"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	6913	6913.00
	"Hardeman County, TN"	"47069"	"1981"	"1981"	0	0.00	0.00	9	9.00	0.00	10	10.00	0.00	23479	23479.00
"Total"	"Hardeman County, TN"	"47069"			Not Applicable	0.00	0.00	Not Applicable	9.00	0.00	Not Applicable	10.00	0.00	23479	23479.00
	"Hardin County, TN"	"47071"	"1981"	"1981"	0	0.00	0.00	9	9.00	0.00	10	10.00	0.00	22524	22524.00
"Total"	"Hardin County, TN"	"47071"			Not Applicable	0.00	0.00	Not Applicable	9.00	0.00	Not Applicable	10.00	0.00	22524	22524.00
	"Hawkins County, TN"	"47073"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	5	5.00	0.00	44473	44473.00
"Total"	"Hawkins County, TN"	"47073"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	5.00	0.00	44473	44473.00
	"Haywood County, TN"	"47075"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	8	8.00	0.00	20187	20187.00
"Total"	"Haywood County, TN"	"47075"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	8.00	0.00	20187	20187.00
	"Henderson County, TN"	"47077"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	7	7.00	0.00	21456	21456.00
"Total"	"Henderson County, TN"	"47077"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	21456	21456.00
	"Henry County, TN"	"47079"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	3	3.00	0.00	28784	28784.00
"Total"	"Henry County, TN"	"47079"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	28784	28784.00
	"Hickman County, TN"	"47081"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	5	5.00	0.00	15307	15307.00
"Total"	"Hickman County, TN"	"47081"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	5.00	0.00	15307	15307.00
	"Houston County, TN"	"47083"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	3	3.00	0.00	6994	6994.00
"Total"	"Houston County, TN"	"47083"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	6994	6994.00
	"Humphreys County, TN"	"47085"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	3	3.00	0.00	16129	16129.00
"Total"	"Humphreys County, TN"	"47085"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	3.00	0.00	16129	16129.00
	"Jackson County, TN"	"47087"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	3	3.00	0.00	9213	9213.00
"Total"	"Jackson County, TN"	"47087"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	9213	9213.00
	"Jefferson County, TN"	"47089"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	3	3.00	0.00	31867	31867.00
"Total"	"Jefferson County, TN"	"47089"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	31867	31867.00
	"Johnson County, TN"	"47091"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	0	0.00	0.00	13885	13885.00
"Total"	"Johnson County, TN"	"47091"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	0.00	0.00	13885	13885.00
	"Knox County, TN"	"47093"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	6	6.00	0.00	324877	324877.00
"Total"	"Knox County, TN"	"47093"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	6.00	0.00	324877	324877.00
	"Lake County, TN"	"47095"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	7	7.00	0.00	7855	7855.00
"Total"	"Lake County, TN"	"47095"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	7855	7855.00
	"Lauderdale County, TN"	"47097"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	9	9.00	0.00	24241	24241.00
"Total"	"Lauderdale County, TN"	"47097"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	9.00	0.00	24241	24241.00
	"Lawrence County, TN"	"47099"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	10	10.00	0.00	34367	34367.00
"Total"	"Lawrence County, TN"	"47099"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	10.00	0.00	34367	34367.00
	"Lewis County, TN"	"47101"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	3	3.00	0.00	9860	9860.00
"Total"	"Lewis County, TN"	"47101"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	9860	9860.00
	"Lincoln County, TN"	"47103"	"1981"	"1981"	0	0.00	0.00	8	8.00	0.00	11	11.00	0.00	26378	26378.00
"Total"	"Lincoln County, TN"	"47103"			Not Applicable	0.00	0.00	Not Applicable	8.00	0.00	Not Applicable	11.00	0.00	26378	26378.00
	"Loudon County, TN"	"47105"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	7	7.00	0.00	29235	29235.00
"Total"	"Loudon County, TN"	"47105"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	7.00	0.00	29235	29235.00
	"McMinn County, TN"	"47107"	"1981"	"1981"	2	2.00	0.00	4	4.00	0.00	6	6.00	0.00	42434	42434.00
"Total"	"McMinn County, TN"	"47107"			Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	42434	42434.00
	"McNairy County, TN"	"47109"	"1981"	"1981"	0	0.00	0.00	9	9.00	0.00	10	10.00	0.00	22636	22636.00
"Total"	"McNairy County, TN"	"47109"			Not Applicable	0.00	0.00	Not Applicable	9.00	0.00	Not Applicable	10.00	0.00	22636	22636.00
	"Macon County, TN"	"47111"	"1981"	"1981"	2	2.00	0.00	3	3.00	0.00	3	3.00	0.00	16044	16044.00
"Total"	"Macon County, TN"	"47111"			Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	Not Applicable	3.00	0.00	16044	16044.00
	"Madison County, TN"	"47113"	"1981"	"1981"	0	0.00	0.00	9	9.00	0.00	10	10.00	0.00	75826	75826.00
"Total"	"Madison County, TN"	"47113"			Not Applicable	0.00	0.00	Not Applicable	9.00	0.00	Not Applicable	10.00	0.00	75826	75826.00
	"Marion County, TN"	"47115"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	6	6.00	0.00	24554	24554.00
"Total"	"Marion County, TN"	"47115"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	24554	24554.00
	"Marshall County, TN"	"47117"	"1981"	"1981"	2	2.00	0.00	8	8.00	0.00	9	9.00	0.00	19759	19759.00
"Total"	"Marshall County, TN"	"47117"			Not Applicable	2.00	0.00	Not Applicable	8.00	0.00	Not Applicable	9.00	0.00	19759	19759.00
	"Maury County, TN"	"47119"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	6	6.00	0.00	51408	51408.00
"Total"	"Maury County, TN"	"47119"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	51408	51408.00
	"Meigs County, TN"	"47121"	"1981"	"1981"	2	2.00	0.00	4	4.00	0.00	6	6.00	0.00	7482	7482.00
"Total"	"Meigs County, TN"	"47121"			Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	7482	7482.00
	"Monroe County, TN"	"47123"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	6	6.00	0.00	28932	28932.00
"Total"	"Monroe County, TN"	"47123"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	28932	28932.00
	"Montgomery County, TN"	"47125"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	85032	85032.00
"Total"	"Montgomery County, TN"	"47125"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	85032	85032.00
	"Moore County, TN"	"47127"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	7	7.00	0.00	4535	4535.00
"Total"	"Moore County, TN"	"47127"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	4535	4535.00
	"Morgan County, TN"	"47129"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	3	3.00	0.00	17237	17237.00
"Total"	"Morgan County, TN"	"47129"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	17237	17237.00
	"Obion County, TN"	"47131"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	7	7.00	0.00	32879	32879.00
"Total"	"Obion County, TN"	"47131"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	7.00	0.00	32879	32879.00
	"Overton County, TN"	"47133"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	3	3.00	0.00	17487	17487.00
"Total"	"Overton County, TN"	"47133"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	17487	17487.00
	"Perry County, TN"	"47135"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	7	7.00	0.00	6172	6172.00
"Total"	"Perry County, TN"	"47135"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	7.00	0.00	6172	6172.00
	"Pickett County, TN"	"47137"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	3	3.00	0.00	4432	4432.00
"Total"	"Pickett County, TN"	"47137"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	4432	4432.00
	"Polk County, TN"	"47139"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	7	7.00	0.00	13727	13727.00
"Total"	"Polk County, TN"	"47139"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	13727	13727.00
	"Putnam County, TN"	"47141"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	4	4.00	0.00	48656	48656.00
"Total"	"Putnam County, TN"	"47141"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	48656	48656.00
	"Rhea County, TN"	"47143"	"1981"	"1981"	2	2.00	0.00	4	4.00	0.00	5	5.00	0.00	24305	24305.00
"Total"	"Rhea County, TN"	"47143"			Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	24305	24305.00
	"Roane County, TN"	"47145"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	5	5.00	0.00	48562	48562.00
"Total"	"Roane County, TN"	"47145"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	48562	48562.00
	"Robertson County, TN"	"47147"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	3	3.00	0.00	37419	37419.00
"Total"	"Robertson County, TN"	"47147"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	37419	37419.00
	"Rutherford County, TN"	"47149"	"1981"	"1981"	2	2.00	0.00	4	4.00	0.00	6	6.00	0.00	87328	87328.00
"Total"	"Rutherford County, TN"	"47149"			Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	87328	87328.00
	"Scott County, TN"	"47151"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	3	3.00	0.00	19389	19389.00
"Total"	"Scott County, TN"	"47151"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	19389	19389.00
	"Sequatchie County, TN"	"47153"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	6	6.00	0.00	8664	8664.00
"Total"	"Sequatchie County, TN"	"47153"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	8664	8664.00
	"Sevier County, TN"	"47155"	"1981"	"1981"	0	0.00	0.00	11	11.00	0.00	6	6.00	0.00	42753	42753.00
"Total"	"Sevier County, TN"	"47155"			Not Applicable	0.00	0.00	Not Applicable	11.00	0.00	Not Applicable	6.00	0.00	42753	42753.00
	"Shelby County, TN"	"47157"	"1981"	"1981"	0	0.00	0.00	10	10.00	0.00	9	9.00	0.00	774196	774196.00
"Total"	"Shelby County, TN"	"47157"			Not Applicable	0.00	0.00	Not Applicable	10.00	0.00	Not Applicable	9.00	0.00	774196	774196.00
	"Smith County, TN"	"47159"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	4	4.00	0.00	14835	14835.00
"Total"	"Smith County, TN"	"47159"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	14835	14835.00
	"Stewart County, TN"	"47161"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	3	3.00	0.00	8685	8685.00
"Total"	"Stewart County, TN"	"47161"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	8685	8685.00
	"Sullivan County, TN"	"47163"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	6	6.00	0.00	145261	145261.00
"Total"	"Sullivan County, TN"	"47163"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	145261	145261.00
	"Sumner County, TN"	"47165"	"1981"	"1981"	2	2.00	0.00	3	3.00	0.00	4	4.00	0.00	87735	87735.00
"Total"	"Sumner County, TN"	"47165"			Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	87735	87735.00
	"Tipton County, TN"	"47167"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	7	7.00	0.00	33266	33266.00
"Total"	"Tipton County, TN"	"47167"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	33266	33266.00
	"Trousdale County, TN"	"47169"	"1981"	"1981"	2	2.00	0.00	3	3.00	0.00	4	4.00	0.00	6074	6074.00
"Total"	"Trousdale County, TN"	"47169"			Not Applicable	2.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	6074	6074.00
	"Unicoi County, TN"	"47171"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	0	0.00	0.00	16597	16597.00
"Total"	"Unicoi County, TN"	"47171"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	0.00	0.00	16597	16597.00
	"Union County, TN"	"47173"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	6	6.00	0.00	11988	11988.00
"Total"	"Union County, TN"	"47173"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	6.00	0.00	11988	11988.00
	"Van Buren County, TN"	"47175"	"1981"	"1981"	2	2.00	0.00	4	4.00	0.00	5	5.00	0.00	4776	4776.00
"Total"	"Van Buren County, TN"	"47175"			Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	4776	4776.00
	"Warren County, TN"	"47177"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	5	5.00	0.00	32555	32555.00
"Total"	"Warren County, TN"	"47177"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	32555	32555.00
	"Washington County, TN"	"47179"	"1981"	"1981"	0	0.00	0.00	5	5.00	0.00	6	6.00	0.00	90332	90332.00
"Total"	"Washington County, TN"	"47179"			Not Applicable	0.00	0.00	Not Applicable	5.00	0.00	Not Applicable	6.00	0.00	90332	90332.00
	"Wayne County, TN"	"47181"	"1981"	"1981"	0	0.00	0.00	7	7.00	0.00	9	9.00	0.00	14074	14074.00
"Total"	"Wayne County, TN"	"47181"			Not Applicable	0.00	0.00	Not Applicable	7.00	0.00	Not Applicable	9.00	0.00	14074	14074.00
	"Weakley County, TN"	"47183"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	7	7.00	0.00	33090	33090.00
"Total"	"Weakley County, TN"	"47183"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	7.00	0.00	33090	33090.00
	"White County, TN"	"47185"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	5	5.00	0.00	19867	19867.00
"Total"	"White County, TN"	"47185"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	5.00	0.00	19867	19867.00
	"Williamson County, TN"	"47187"	"1981"	"1981"	2	2.00	0.00	4	4.00	0.00	5	5.00	0.00	59844	59844.00
"Total"	"Williamson County, TN"	"47187"			Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	Not Applicable	5.00	0.00	59844	59844.00
	"Wilson County, TN"	"47189"	"1981"	"1981"	2	2.00	0.00	2	2.00	0.00	4	4.00	0.00	56619	56619.00
"Total"	"Wilson County, TN"	"47189"			Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	56619	56619.00
	"Anderson County, TX"	"48001"	"1981"	"1981"	0	0.00	0.00	6	6.00	0.00	6	6.00	0.00	40736	40736.00
"Total"	"Anderson County, TX"	"48001"			Not Applicable	0.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	40736	40736.00
	"Andrews County, TX"	"48003"	"1981"	"1981"	6	6.00	0.00	6	6.00	0.00	3	3.00	0.00	14147	14147.00
"Total"	"Andrews County, TX"	"48003"			Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	Not Applicable	3.00	0.00	14147	14147.00
	"Angelina County, TX"	"48005"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	7	7.00	0.00	65956	65956.00
"Total"	"Angelina County, TX"	"48005"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	7.00	0.00	65956	65956.00
	"Aransas County, TX"	"48007"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	14911	14911.00
"Total"	"Aransas County, TX"	"48007"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	14911	14911.00
	"Archer County, TX"	"48009"	"1981"	"1981"	6	6.00	0.00	7	7.00	0.00	4	4.00	0.00	7518	7518.00
"Total"	"Archer County, TX"	"48009"			Not Applicable	6.00	0.00	Not Applicable	7.00	0.00	Not Applicable	4.00	0.00	7518	7518.00
	"Armstrong County, TX"	"48011"	"1981"	"1981"	7	7.00	0.00	8	8.00	0.00	8	8.00	0.00	2008	2008.00
"Total"	"Armstrong County, TX"	"48011"			Not Applicable	7.00	0.00	Not Applicable	8.00	0.00	Not Applicable	8.00	0.00	2008	2008.00
	"Atascosa County, TX"	"48013"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	25602	25602.00
"Total"	"Atascosa County, TX"	"48013"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	25602	25602.00
	"Austin County, TX"	"48015"	"1981"	"1981"	0	0.00	0.00	4	4.00	0.00	2	2.00	0.00	18370	18370.00
"Total"	"Austin County, TX"	"48015"			Not Applicable	0.00	0.00	Not Applicable	4.00	0.00	Not Applicable	2.00	0.00	18370	18370.00
	"Bailey County, TX"	"48017"	"1981"	"1981"	10	10.00	0.00	10	10.00	0.00	13	13.00	0.00	8340	8340.00
"Total"	"Bailey County, TX"	"48017"			Not Applicable	10.00	0.00	Not Applicable	10.00	0.00	Not Applicable	13.00	0.00	8340	8340.00
	"Bandera County, TX"	"48019"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	7156	7156.00
"Total"	"Bandera County, TX"	"48019"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	7156	7156.00
	"Bastrop County, TX"	"48021"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	2	2.00	0.00	26469	26469.00
"Total"	"Bastrop County, TX"	"48021"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	26469	26469.00
	"Baylor County, TX"	"48023"	"1981"	"1981"	6	6.00	0.00	5	5.00	0.00	4	4.00	0.00	5045	5045.00
"Total"	"Baylor County, TX"	"48023"			Not Applicable	6.00	0.00	Not Applicable	5.00	0.00	Not Applicable	4.00	0.00	5045	5045.00
	"Bee County, TX"	"48025"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	0	0.00	0.00	26586	26586.00
"Total"	"Bee County, TX"	"48025"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	0.00	0.00	26586	26586.00
	"Bell County, TX"	"48027"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	164791	164791.00
"Total"	"Bell County, TX"	"48027"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	164791	164791.00
	"Bexar County, TX"	"48029"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	1018535	1018535.00
"Total"	"Bexar County, TX"	"48029"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	1018535	1018535.00
	"Blanco County, TX"	"48031"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	2	2.00	0.00	4677	4677.00
"Total"	"Blanco County, TX"	"48031"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	4677	4677.00
	"Borden County, TX"	"48033"	"1981"	"1981"	2	2.00	0.00	7	7.00	0.00	3	3.00	0.00	839	839.00
"Total"	"Borden County, TX"	"48033"			Not Applicable	2.00	0.00	Not Applicable	7.00	0.00	Not Applicable	3.00	0.00	839	839.00
	"Bosque County, TX"	"48035"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	4	4.00	0.00	13444	13444.00
"Total"	"Bosque County, TX"	"48035"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	4.00	0.00	13444	13444.00
	"Bowie County, TX"	"48037"	"1981"	"1981"	0	0.00	0.00	3	3.00	0.00	7	7.00	0.00	76032	76032.00
"Total"	"Bowie County, TX"	"48037"			Not Applicable	0.00	0.00	Not Applicable	3.00	0.00	Not Applicable	7.00	0.00	76032	76032.00
	"Brazoria County, TX"	"48039"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	175542	175542.00
"Total"	"Brazoria County, TX"	"48039"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	175542	175542.00
	"Brazos County, TX"	"48041"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	102715	102715.00
"Total"	"Brazos County, TX"	"48041"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	102715	102715.00
	"Brewster County, TX"	"48043"	"1981"	"1981"	6	6.00	0.00	6	6.00	0.00	6	6.00	0.00	7723	7723.00
"Total"	"Brewster County, TX"	"48043"			Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	Not Applicable	6.00	0.00	7723	7723.00
	"Briscoe County, TX"	"48045"	"1981"	"1981"	5	5.00	0.00	7	7.00	0.00	7	7.00	0.00	2535	2535.00
"Total"	"Briscoe County, TX"	"48045"			Not Applicable	5.00	0.00	Not Applicable	7.00	0.00	Not Applicable	7.00	0.00	2535	2535.00
	"Brooks County, TX"	"48047"	"1981"	"1981"	0	0.00	0.00	0	0.00	0.00	0	0.00	0.00	8569	8569.00
"Total"	"Brooks County, TX"	"48047"			Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	Not Applicable	0.00	0.00	8569	8569.00
	"Brown County, TX"	"48049"	"1981"	"1981"	4	4.00	0.00	3	3.00	0.00	4	4.00	0.00	33825	33825.00
"Total"	"Brown County, TX"	"48049"			Not Applicable	4.00	0.00	Not Applicable	3.00	0.00	Not Applicable	4.00	0.00	33825	33825.00
	"Burleson County, TX"	"48051"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	13336	13336.00
"Total"	"Burleson County, TX"	"48051"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	13336	13336.00
	"Burnet County, TX"	"48053"	"1981"	"1981"	0	0.00	0.00	2	2.00	0.00	2	2.00	0.00	18274	18274.00
"Total"	"Burnet County, TX"	"48053"			Not Applicable	0.00	0.00	Not Applicable	2.00	0.00	Not Applicable	2.00	0.00	18274	18274.00
